Esquema;Tabla;Indice;Tipo;EsPK;EsUnique;Pages;Fragmentacion;PageFullness
dbo;Honorario_Certificado;PK_Honorario_Certificado;CLUSTERED;True;True;20;45.0;84.89498393872005
dbo;Honorario_Certificado;Rut;NONCLUSTERED;False;False;14;7.142857142857142;94.75096367679764
dbo;Honorarios;PK_Honorarios;CLUSTERED;True;True;3522;0.2271436683702442;99.07766246602421
dbo;HonorariosCtaAreaGestion;PK_HonorariosCtaAreaGestion;CLUSTERED;True;True;0;0.0;0.0
dbo;Imputacion_Presupuestaria;PK_Imputacion_Presupuestaria;CLUSTERED;True;True;109;82.56880733944955;57.543365455893245
dbo;ModificacionPresupuestaria_Activa;PK_ModificacionPresupuestaria_Activa;CLUSTERED;True;True;1;0.0;4.175932789720781
dbo;Montos_AreadeGestion;IX_Montos_AreadeGestion;NONCLUSTERED;False;False;5823;40.78653614975099;79.1747961452928
dbo;Montos_AreadeGestion_Ingresos;PK_Montos_AreadeGestion_Ingresos;CLUSTERED;True;True;0;0.0;0.0
dbo;Montos_AreadeGestionTraspaso;PK_Montos_AreadeGestionTraspaso;CLUSTERED;True;True;356;71.62921348314607;77.47090437361008
dbo;Montos_Centro_Costos;Montos_Centro_costos_indices;NONCLUSTERED;False;False;2633;0.8735282947208508;99.5219915987151
dbo;NumeracionComprobantes;PK_NumeracionComprobantes;CLUSTERED;True;True;3;33.33333333333333;57.754719545342226
dbo;OMIL;PK_OMIL;CLUSTERED;True;True;0;0.0;0.0
dbo;Otra_Glosa_Decreto;Ano;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Otra_Glosa_Decreto;Area;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Otra_Glosa_Decreto;Decreto;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Otra_Glosa_Decreto;idx_NumeroDecreto;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Otra_Glosa_Decreto;PK_Otra_Glosa_Decreto;CLUSTERED;True;True;0;0.0;0.0
dbo;PagadosEnDecreto;Ano;NONCLUSTERED;False;False;1768;0.7352941176470588;99.43574252532741
dbo;PagadosEnDecreto;Area;NONCLUSTERED;False;False;1769;0.7348784624081401;99.37951569063505
dbo;PagadosEnDecreto;Cuenta;NONCLUSTERED;False;False;4245;13.003533568904594;93.17992340004942
dbo;PagadosEnDecreto;Decreto;NONCLUSTERED;False;False;2039;27.317312408043158;86.2166172473437
dbo;PagadosEnDecreto;Fila;NONCLUSTERED;False;False;1858;10.387513455328309;94.61795156906351
dbo;PagadosEnDecreto;PK_PagadosEnDecreto;CLUSTERED;True;True;7347;0.449162923642303;99.30306399802323
dbo;Parametros;PK_Parametros;CLUSTERED;True;True;6;83.33333333333334;70.98468000988386
dbo;ParametrosComprobante;PK_ParametrosComprobante;CLUSTERED;True;True;1;0.0;11.588831233012108
dbo;ParametrosComprobantesFirmas;PK_ParametrosComprobantesFirmas;CLUSTERED;True;True;12;83.33333333333334;54.338608846058804
dbo;Personas_En_Contratos;PK_PersEnContratos;CLUSTERED;True;True;912;41.44736842105263;80.32870027180627
dbo;Personas_En_Decretos;PK_Personas_En_Decretos;CLUSTERED;True;True;4889;0.40908161178155045;98.92715591796393
dbo;Pies_Firmas_Decreto;PK_Pies_Firmas_Decreto;CLUSTERED;True;True;12707;0.4879200440701975;97.29352606869287
dbo;PlanDeCuentas;Agregado;NONCLUSTERED;False;False;741;78.94736842105263;62.56043983197429
dbo;PlanDeCuentas;Analitico;NONCLUSTERED;False;False;733;77.48976807639836;63.24348900420064
dbo;PlanDeCuentas;Ano;NONCLUSTERED;False;False;644;76.86335403726709;61.865357054608346
dbo;PlanDeCuentas;Area;NONCLUSTERED;False;False;613;76.83523654159869;63.683493946132934
dbo;PlanDeCuentas;Cuenta;NONCLUSTERED;False;False;565;96.46017699115043;69.09587348653324
dbo;PlanDeCuentas;Descripcion;NONCLUSTERED;False;False;977;2.7635619242579326;97.38442055843835
dbo;PlanDeCuentas;PK_PlanDeCuentas;CLUSTERED;True;True;2246;0.5342831700801425;98.58376575240919
dbo;PlanDeCuentas;TipoCuenta;NONCLUSTERED;False;False;762;80.31496062992126;60.83564368668149
dbo;PlanDeCuentas_CONTRALORIA;PK_PlanDeCuentas_CONTRALORIA;CLUSTERED;True;True;905;13.701657458563535;92.50326167531504
dbo;PlanDeCuentasContraloria_2021;PK_PlanDeCuentasContraloria_2021;CLUSTERED;True;True;506;61.462450592885375;77.41378799110453
dbo;Planificacion_DetalleObligaciones;PK_Plani_DetalleObliga;CLUSTERED;True;True;0;0.0;0.0
dbo;Planificacion_DetalleObligado_Parcial;PK_Planificacion_DetalleObligado_Parcial;CLUSTERED;True;True;0;0.0;0.0
dbo;Planificacion_DetModPresupues_CentroCosto;PK_Planificacion_DetModPresupues_CentroCosto;CLUSTERED;True;True;0;0.0;0.0
dbo;Planificacion_EncabezadoModificacionesPresup;PK_EncabezadoModificacionesPresupuestaria;CLUSTERED;True;True;0;0.0;0.0
dbo;Planificacion_EncabezadoObligaciones;PK_Plani_EncabeObliga;CLUSTERED;True;True;0;0.0;0.0
dbo;Planificacion_Montos_AreadeGestion;PK_Plani_MontosAreaGestion;CLUSTERED;True;True;0;0.0;0.0
dbo;Planificacion_Montos_Centro_Costos;Pk_Plani_Montos_Centro_Costos;CLUSTERED;True;True;0;0.0;0.0
dbo;Planificacion_Presupuesto;PK_Planificacion_Presupuesto;CLUSTERED;True;True;0;0.0;0.0
dbo;Planificacion_Real_Acumulada;PK_Planificacion_Real_Acumulada;CLUSTERED;True;True;0;0.0;0.0
dbo;Planificacion_Temporal_DetModPresupues_CentroCosto;PK_Planificacion_Temporal_DetModPresupues_CentroCosto;CLUSTERED;True;True;0;0.0;0.0
dbo;Presupuesto_Mensual;PK_Presupuesto_Mensual;CLUSTERED;True;True;0;0.0;0.0
dbo;PresupuestoInicial;Ano;NONCLUSTERED;False;False;114;79.82456140350878;59.20977267111441
dbo;PresupuestoInicial;Area;NONCLUSTERED;False;False;96;80.20833333333334;68.4128243143069
dbo;PresupuestoInicial;Cuenta;NONCLUSTERED;False;False;96;93.75;68.4128243143069
dbo;PresupuestoInicial;PK_PresupuestoInicial;CLUSTERED;True;True;160;76.875;59.00265628860885
dbo;PresupuestoInicialAreadeGestion;PK_PresupuestoInicialAreadeGestion;NONCLUSTERED;True;True;129;8.527131782945736;94.68312330121077
dbo;PresupuestoInicialCC;PK_PresupuestoInicialCC;CLUSTERED;True;True;12;83.33333333333334;63.77563627378305
dbo;ProgramaAreadeGestion;PK_ProgramaAreadeGestion;NONCLUSTERED;True;True;47;89.36170212765957;57.77671114405733
dbo;Proyectos_FondosAdmis;PK_Proyectos_FondosAdmis;CLUSTERED;True;True;0;0.0;0.0
dbo;Relacion_Cuentas_Cierre;PK_Relacion_Cuentas_Cierre;NONCLUSTERED;True;True;392;54.8469387755102;76.61307141092166
dbo;Relacion_Cuentas_Comprobantes;Ano_Proceso;NONCLUSTERED;False;False;283;77.03180212014135;61.8112676056338
dbo;Relacion_Cuentas_Comprobantes;Codigo_Area;NONCLUSTERED;False;False;270;78.51851851851852;64.78855942673584
dbo;Relacion_Cuentas_Comprobantes;Cta_Pres;NONCLUSTERED;False;False;248;98.38709677419355;70.53811465282925
dbo;Relacion_Cuentas_Comprobantes;PK_Relacion_Cuentas_Comprobantes;CLUSTERED;True;True;564;68.61702127659575;66.81366444279713
dbo;Relacion_CuentaSubProgramaAreadeGestion;PK_Relacion_CuentaSubProgramaAreadeGestion;CLUSTERED;True;True;0;0.0;0.0
dbo;RelacionCuentaDevengadoDecreto;PK_RelCuentaDevDeto;CLUSTERED;True;True;3182;1.3513513513513513;98.94241413392636
dbo;RelacionCuentaDevengadoDecretoAreaGestion;PK_RelacionCuentaDevengadoDecretoAreaGestion;CLUSTERED;True;True;9903;0.6664647076643442;99.71247837904622
dbo;RelacionCuentasActivoFijo;PK_RelacionCuentasActivoFijo;NONCLUSTERED;True;True;1;0.0;13.31850753644675
dbo;RelacionCuentasObligado;Ano;NONCLUSTERED;False;False;2830;1.6607773851590106;98.89426735853719
dbo;RelacionCuentasObligado;Area;NONCLUSTERED;False;False;2832;1.8008474576271187;98.8244131455399
dbo;RelacionCuentasObligado;Cuenta;NONCLUSTERED;False;False;3047;15.72038070233016;91.8494934519397
dbo;RelacionCuentasObligado;Devengado;NONCLUSTERED;False;False;3213;25.30345471521942;87.10280454657773
dbo;RelacionCuentasObligado;Obligacion;NONCLUSTERED;False;False;3310;30.39274924471299;84.54953051643193
dbo;RelacionCuentasObligado;PK_RelacionCuentasObligado;CLUSTERED;True;True;4024;1.7147117296222665;98.91612305411415
