TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;LARGO_ATRIBUTOS;PESO_GRUPO
HistoricoNivelEducativo;aaaaaHistoricoNivelEducativ_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Nivel,Ano;0.0;NO USO;2;0.015625
HistoricoNivelEducativo;Id_Nivel;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Nivel;0.0;NO USO;1;0.015625
Indices;aaaaaIndices_PK;NONCLUSTERED;1;1;2.0;0.0;0.0;0.0;2026-06-04 10:53:38.627;;0.015625;0.015625;0.007812;Año,Mes;2.0;Beneficio Busqueda;2;0.015625
Indices;A¤o;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Año;0.0;NO USO;1;0.015625
InstitucionesAVP;aaInstitucionesAVP_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Institucion,Tipo_Institucion;0.0;NO USO;2;0.015625
InstitucionesAVP;Id_institucion;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Institucion;0.0;NO USO;1;0.015625
Liquidacion;aaaaaLiquidacion_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;2.0;;;0.070312;0.015625;0.007812;Id_Establecimiento,Id_Funcionario;0.0;SIN BUSQUEDAS;2;0.015625
Liquidacion;Id_Estable;NONCLUSTERED;0;0;1.0;0.0;0.0;2.0;2026-06-04 10:00:09.270;;0.070312;0.015625;0.007812;Id_Establecimiento;1.0;Costo de mantenimiento;1;0.015625
LiquidacionHrs;aaaaaLiquidacionHrs_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;1.0;;;0.070312;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Tipo_Horas;0.0;SIN BUSQUEDAS;3;0.015625
LiquidacionHrs;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;1.0;;;0.070312;0.015625;0.007812;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;0.015625
MovimientoLiquidacion;aaaaaMovimientoLiquidacion_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;1.0;;;0.070312;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Tipo_HaberDcto,Id_HaberDcto;0.0;SIN BUSQUEDAS;4;0.015625
MovimientoLiquidacion;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;1.0;;;0.070312;0.015625;0.007812;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;0.015625
Movimiento_Finiquito;aaMovimiento_Finiquito_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Correlativo,Tipo_Movimiento,Id_Movimiento;0.0;NO USO;5;0.015625
Movimiento_Finiquito;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento;0.0;NO USO;1;0.015625
PermisosAdminSinRemuneracion;aaaaaPermisosAdminSinRemune_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Periodo,Correlativo;0.0;NO USO;4;0.015625
PermisosAdminSinRemuneracion;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento;0.0;NO USO;1;0.015625
