TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE
CargasRetroactivas;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.210937;0.109375;0.140625;Id_Establecimiento;0.0;NO USO
CargasRetroactivas;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.156250;0.070312;0.093750;Id_Funcionario;0.0;NO USO
CargoFuncionario;aaaaaCargoFuncionario_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Cargo;0.0;NO USO
CargoFuncionario;Id_Cargo;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Cargo;0.0;NO USO
CarreraDocente;aaaCarreraDocente_PK;CLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Rut,Mes,Ano,Correlativo;0.0;NO USO
CarreraDocente;Ano;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Ano;0.0;NO USO
CarreraDocente;Correlativo;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Correlativo;0.0;NO USO
CarreraDocente;Mes;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Mes;0.0;NO USO
CarreraDocente;Rut;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Rut;0.0;NO USO
CategoriaAsistEducacion;aaaCategoriaAsistEducacion_PK;CLUSTERED;1;1;5.0;0.0;0.0;0.0;2026-06-04 09:07:07.537;;0.015625;0.015625;0.007812;Codigo_CategoriaAsistEducacion;5.0;Beneficio Busqueda
CausalesEgreso;aaaaaCausalesEgreso_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Codigo;0.0;NO USO
CausalesEgreso;Id_Codigo;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Codigo;0.0;NO USO
CCAF_LosAndes;aaCCAF_LosAndes_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;K1_Id_Establecimiento,K1_Id_Funcionario,K1_Ano,K1_Mes,Correlativo;0.0;NO USO
